candidate_label,mean_knn_distance
AHA_Plate009_1_005007,0.0012101888
ALB_Plate011_2_014022,0.0012096465
ALB_Plate018_001020,0.001207745
ALB_Plate011_1_012005,0.0012072861
ALB_Plate017_004010,0.0012058199
ALB_Plate018_016015,0.0012044013
ALB_Plate001_2_016024,0.0012019693
ALB_Plate022_2_014009,0.0012016296
ALB_Plate001_1_009006,0.0012001038
AEB_Plate023_004002,0.0011983097
ALB_Plate003_006024,0.001197499
AEC_Plate023_008015,0.0011922776
AHA_Plate011_2_004024,0.0011921525
AEC_Plate030_2_006024,0.0011916697
AEB_Plate060_013023,0.0011881351
AHA_Plate007_1_013006,0.0011813641
ALB_Plate003_002006,0.001179719
ALB_Plate022_2_002024,0.0011795282
AHA_Plate003_014019,0.0011777639
AEB_Plate057_004023,0.0011763036
AEC_Plate001_004003,0.0011734248
ALB_Plate012_001003,0.0011722684
AEC_Plate030_1_007017,0.0011681796
ALB_Plate025_005024,0.0011657417
AEC_Plate030_2_007017,0.0011648058
ALB_Plate011_1_011004,0.0011646748
ALB_Plate023_1_005023,0.0011595606
ALB_Plate023_1_005002,0.0011576653
ALB_Plate015_012012,0.0011549294
AHA_Plate003_016001,0.0011511147
AHA_Plate011_1_014023,0.0011509896
AHA_Plate001_2_001007,0.0011498451
AHA_Plate009_2_005024,0.0011495948
AEC_Plate003_016024,0.0011494398
AEB_Plate046_003004,0.001149249
ALB_Plate018_005015,0.0011474371
AEB_Plate043_016002,0.0011471271
ALB_Plate025_015008,0.001145035
AEC_Plate017_004002,0.0011431277
AHA_Plate011_1_014024,0.0011396527
AEC_Plate028_008006,0.0011389672
AHA_Plate011_1_006002,0.0011372507
ALB_Plate002_2_009020,0.0011361539
AEC_Plate023_013023,0.00113433
ALB_Plate022_1_016008,0.0011331558
ALB_Plate023_2_004005,0.0011330604
ALB_Plate023_1_016010,0.0011319459
ALB_Plate022_1_016023,0.0011295974
AHA_Plate009_1_010023,0.0011274635
ALB_Plate023_2_016010,0.0011252165
AEB_Plate033_014008,0.0011229515
ALB_Plate023_2_013021,0.001121676
ALB_Plate003_004004,0.0011198043
ALB_Plate023_2_016024,0.001119572
ALB_Plate016_016022,0.001118809
AHA_Plate009_1_015003,0.001118046
ALB_Plate003_016004,0.0011171997
ALB_Plate004_013004,0.0011169374
AEC_Plate001_005023,0.0011167824
AHA_Plate005_010005,0.0011158526
AHA_Plate001_1_005002,0.0011144995
AEC_Plate028_005024,0.0011089385
AHA_Plate001_2_016023,0.0011046946
ALB_Plate001_1_015019,0.0011030734
AHA_Plate001_2_014004,0.0011009395
ALB_Plate022_1_005024,0.0011008561
AHA_Plate007_2_014018,0.0010999202
AHA_Plate001_2_009007,0.0010982096
AEC_Plate001_005002,0.0010976314
AEB_Plate029_2_012018,0.0010974348
AEB_Plate007_003010,0.0010972202
ALB_Plate022_2_012011,0.0010951937
AHA_Plate007_1_006019,0.0010909319
ALB_Plate001_2_016021,0.0010897338
AHA_Plate009_1_003008,0.0010891855
AEB_Plate008_008007,0.0010840058
ALB_Plate009_006003,0.0010828674
ALB_Plate003_004021,0.0010826945
AEB_Plate023_004024,0.0010822534
AEB_Plate012_004002,0.001080513
ALB_Plate009_004012,0.0010789752
